frame_processed,x,y,z
515,0.044517,0.201159,2.504662
516,0.043972,0.203939,2.514368
517,0.043561,0.206706,2.523744
518,0.043208,0.208449,2.530153
519,0.042802,0.210452,2.538527
520,0.041992,0.212785,2.547299
521,0.041144,0.215395,2.557871
522,0.040264,0.217875,2.569413
523,0.039433,0.220848,2.581890
524,0.038403,0.223263,2.593232
525,0.037835,0.225296,2.603537
526,0.037210,0.228222,2.614277
527,0.036960,0.229716,2.620563
528,0.037323,0.231677,2.627804
529,0.037283,0.233561,2.635822
530,0.037267,0.234314,2.639029
531,0.037433,0.236146,2.646305
532,0.037236,0.237485,2.652924
533,0.037242,0.238400,2.657488
534,0.037244,0.238766,2.659314
535,0.037543,0.239668,2.662656
536,0.037259,0.240429,2.666449
537,0.036493,0.241693,2.673413
538,0.036262,0.242572,2.678657
539,0.036373,0.243898,2.685456
540,0.036250,0.245201,2.692665
541,0.036227,0.246168,2.697609
542,0.035969,0.247801,2.704463
543,0.035248,0.249558,2.712432
544,0.035099,0.250857,2.717900
545,0.034548,0.252526,2.725460
546,0.034257,0.254000,2.732184
547,0.033727,0.255741,2.740071
548,0.033597,0.257258,2.746042
549,0.033643,0.258777,2.751857
550,0.033610,0.260077,2.757398
551,0.033484,0.261291,2.762913
552,0.033478,0.262780,2.768927
553,0.033131,0.264067,2.776045
554,0.033287,0.266214,2.783961
555,0.033479,0.267953,2.791543
556,0.033352,0.269640,2.798967
557,0.033486,0.271430,2.807147
558,0.033619,0.273254,2.815791
559,0.033678,0.275065,2.824841
560,0.033732,0.277003,2.833947
561,0.033194,0.279301,2.842816
562,0.033000,0.281140,2.851931
563,0.033183,0.282567,2.860666
564,0.033367,0.284277,2.869564
565,0.033529,0.285996,2.879340
566,0.034179,0.288032,2.889839
567,0.034451,0.290770,2.901256
568,0.035031,0.292850,2.910831
569,0.035020,0.295524,2.922696
570,0.035067,0.297574,2.933089
571,0.035155,0.299051,2.941819
572,0.033730,0.301456,2.954054
573,0.032900,0.303201,2.963128
574,0.032743,0.304920,2.972847
575,0.032708,0.307006,2.982451
576,0.032712,0.309400,2.992410
577,0.032279,0.311519,3.001307
578,0.032090,0.313914,3.011820
579,0.031489,0.315740,3.020711
580,0.031215,0.318270,3.030565
581,0.030809,0.320582,3.041320
582,0.030322,0.323127,3.052474
583,0.029972,0.326380,3.063784
584,0.029995,0.329711,3.074822
585,0.029095,0.333365,3.085604
586,0.027766,0.336610,3.096138
587,0.027030,0.339837,3.106598
588,0.026645,0.342183,3.117402
589,0.026136,0.344178,3.128308
590,0.025891,0.346203,3.139252
591,0.025906,0.348773,3.147940
592,0.025603,0.351417,3.157647
593,0.025502,0.353342,3.166481
594,0.025662,0.355671,3.174740
595,0.026284,0.354082,3.178603
596,0.026095,0.355245,3.185049
597,0.025734,0.357284,3.192648
598,0.025329,0.359182,3.200766
599,0.025451,0.360665,3.209138
600,0.025155,0.362680,3.218376
601,0.025031,0.365523,3.227488
602,0.024496,0.368048,3.236727
603,0.024223,0.370098,3.245859
604,0.023691,0.373070,3.255768
605,0.023521,0.375645,3.266552
606,0.023553,0.377909,3.277585
607,0.023476,0.380992,3.288851
608,0.022674,0.384854,3.297976
609,0.022833,0.387967,3.305876
610,0.022595,0.390070,3.313596
611,0.021805,0.392346,3.324177
612,0.021520,0.394550,3.333803
613,0.020941,0.397278,3.342238
614,0.020742,0.399577,3.351116
615,0.019833,0.402652,3.360005
616,0.019820,0.405168,3.369334
617,0.020216,0.407151,3.379239
618,0.020334,0.409153,3.389018
619,0.021027,0.411431,3.399016
620,0.022086,0.414398,3.409397
621,0.021848,0.417215,3.419795
622,0.022021,0.420065,3.430669
623,0.022205,0.421464,3.438737
624,0.022592,0.424349,3.449084
625,0.022365,0.426946,3.459496
626,0.022091,0.428417,3.467460
627,0.021935,0.430017,3.475718
628,0.022197,0.431732,3.485878
629,0.022618,0.433144,3.496019
630,0.023242,0.434431,3.503419
631,0.023805,0.435867,3.510809
632,0.024673,0.437064,3.517298
633,0.025545,0.439239,3.527613
634,0.025876,0.441323,3.536924
635,0.026157,0.443419,3.545903
636,0.026255,0.445224,3.554983
637,0.026469,0.446867,3.563835
638,0.026524,0.448466,3.573116
639,0.026564,0.449846,3.582576
640,0.026450,0.451523,3.592165
641,0.026376,0.453178,3.601868
642,0.026561,0.454554,3.610583
643,0.026655,0.456587,3.619990
644,0.026577,0.458341,3.629918
645,0.026377,0.460165,3.639843
646,0.025940,0.462094,3.649524
647,0.025633,0.463966,3.659205
648,0.025492,0.465849,3.668684
649,0.025165,0.468003,3.679063
650,0.024687,0.469984,3.689717
651,0.024187,0.472591,3.701166
652,0.024324,0.474660,3.711899
653,0.024678,0.476953,3.723054
654,0.024905,0.478789,3.732211
655,0.025196,0.480326,3.740156
656,0.024957,0.481994,3.748134
657,0.025185,0.483226,3.755452
658,0.025027,0.484674,3.763179
659,0.024744,0.487223,3.772136
660,0.024842,0.488837,3.780840
661,0.024472,0.491169,3.789535
662,0.024138,0.492858,3.797779
663,0.024316,0.494118,3.806286
664,0.024482,0.495406,3.815285
665,0.024486,0.497367,3.824661
666,0.024753,0.498959,3.834112
667,0.025274,0.500470,3.843907
668,0.025582,0.502179,3.853684
669,0.026075,0.503305,3.863169
670,0.026595,0.504430,3.872636
671,0.027173,0.505189,3.882314
672,0.027818,0.506797,3.892492
673,0.028325,0.508304,3.902777
674,0.028833,0.510207,3.913284
675,0.029237,0.512293,3.924558
676,0.029306,0.515509,3.936389
677,0.029990,0.517966,3.948501
678,0.030841,0.519696,3.960271
679,0.031943,0.521537,3.971969
680,0.032525,0.524051,3.983865
681,0.034165,0.524876,3.995644
682,0.035135,0.526880,4.007781
683,0.034932,0.530269,4.019542
684,0.034943,0.533423,4.031726
685,0.035500,0.536276,4.044837
686,0.036627,0.538307,4.058513
687,0.038144,0.539994,4.072245
688,0.039261,0.541578,4.085635
689,0.041719,0.541355,4.098991
690,0.042590,0.544022,4.112338
691,0.041878,0.546892,4.127407
692,0.042491,0.548060,4.137364
693,0.043667,0.549715,4.149691
694,0.044806,0.550549,4.158676
695,0.045915,0.552311,4.170368
696,0.048116,0.553661,4.183105
697,0.044872,0.558389,4.180391
698,0.044521,0.560603,4.183374
699,0.044734,0.562090,4.188749
700,0.044819,0.562684,4.190899
701,0.045042,0.562897,4.192207
702,0.045205,0.562817,4.190161
703,0.045134,0.562390,4.186501
704,0.045634,0.562728,4.188132
705,0.046440,0.563366,4.191890
706,0.046763,0.563622,4.193393
707,0.047033,0.563772,4.196515
708,0.047539,0.563872,4.200424
709,0.048172,0.564223,4.204429
710,0.048427,0.564346,4.205982
711,0.048528,0.564395,4.206603
712,0.048569,0.564415,4.206852
713,0.048585,0.564423,4.206951
714,0.060749,0.573674,4.295685
715,0.064300,0.575992,4.322610
716,0.065720,0.576919,4.333380
717,0.069982,0.575773,4.338070
718,0.071727,0.575856,4.343555
719,0.072518,0.576166,4.348928
720,0.072834,0.576290,4.351077
721,0.075365,0.573033,4.352237
722,0.076286,0.570928,4.348893
723,0.078611,0.567331,4.348024
724,0.078846,0.565457,4.344605
725,0.078918,0.565436,4.346831
726,0.079602,0.565414,4.349927
727,0.079876,0.565406,4.351165
728,0.080099,0.564906,4.348419
729,0.080726,0.564667,4.349577
730,0.081204,0.561737,4.350213
731,0.081395,0.560565,4.350468
732,0.081603,0.559624,4.347602
733,0.081687,0.559248,4.346456
734,0.081720,0.559098,4.345998
735,0.081733,0.559037,4.345814
736,0.081739,0.559013,4.345741
737,0.081741,0.559004,4.345712
738,0.081826,0.558906,4.344203
739,0.081491,0.559351,4.346779
740,0.081408,0.559638,4.348617
741,0.094404,0.587526,4.400395
742,0.099629,0.598701,4.421611
743,0.101719,0.603171,4.430098
744,0.102555,0.604959,4.433492
745,0.102937,0.605624,4.434449
746,0.103508,0.605962,4.432074
747,0.103709,0.606159,4.431391
748,0.103790,0.606237,4.431118
749,0.103822,0.606269,4.431009
750,0.103378,0.606887,4.427808
751,0.100826,0.604561,4.444426
752,0.099641,0.607301,4.462060
753,0.099255,0.608394,4.468480
754,0.099101,0.608831,4.471048
755,0.099039,0.609006,4.472076
756,0.099014,0.609076,4.472486
757,0.099108,0.609073,4.472015
758,0.099054,0.609134,4.472605
759,0.099032,0.609159,4.472840
760,0.099301,0.608883,4.471679
761,0.099408,0.608773,4.471214
762,0.099451,0.608728,4.471028
763,0.099468,0.608711,4.470954
764,0.099476,0.608705,4.470926
765,0.098611,0.608619,4.468666
766,0.098265,0.608585,4.467761
767,0.099663,0.605683,4.467508
768,0.102248,0.605635,4.469723
769,0.104197,0.605900,4.472170
770,0.105320,0.604945,4.468769
771,0.105770,0.604564,4.467411
772,0.106403,0.599040,4.467311
773,0.108633,0.590283,4.468565
774,0.117472,0.587477,4.468809
775,0.121007,0.586354,4.468906
776,0.122421,0.585905,4.468945
777,0.129523,0.588104,4.469057
778,0.133028,0.588847,4.471673
779,0.139214,0.584028,4.474418
780,0.141905,0.582905,4.478012
781,0.149694,0.587180,4.479597
782,0.158201,0.595554,4.479784
783,0.164212,0.601272,4.487832
784,0.167949,0.604159,4.496026
785,0.170797,0.606091,4.503883
786,0.175757,0.608519,4.514673
787,0.172540,0.611429,4.525022
788,0.165370,0.613816,4.535717
789,0.169901,0.609531,4.544306
790,0.171714,0.607817,4.547742
791,0.178309,0.608511,4.558438
792,0.180947,0.608788,4.562717
793,0.188226,0.610556,4.574988
794,0.197116,0.608083,4.585366
795,0.200672,0.607094,4.589517
796,0.202094,0.606699,4.591177
797,0.196572,0.609106,4.594623
798,0.194366,0.610070,4.596006
799,0.188586,0.612147,4.597893
